,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Monroe St & Bedford Ave,Monroe St & Bedford Ave,Monroe St,Bedford Ave,Monroe St,Bedford Ave,40.685144299999365,-73.95380904000108,-2.0398293029873003,-2.7926136363637397,cat-7,Central Brooklyn,-3.0357778,-1.9626106
W 90 St & Amsterdam Ave,W 90 St & Amsterdam Ave,W 90 St,Amsterdam Ave,W 90 St,Amsterdam Ave,40.79017948095124,-73.97288918495178,2.1296296296295623,2.377713458755352,cat-9,Upper West Side,3.1137056,-7.713546
West End Ave & W 107 St,West End Ave & W 107 St,West End Ave,W 107 St,W 107 St,West End Ave,40.80211740000066,-73.96818053050076,2.8739316239316395,3.0953420669577554,cat-9,Upper West Side,3.624092,-10.738778
Washington Park,Washington Park,Washington Park,Washington Park,N.A.,N.A.,40.69178229999877,-73.9737298999982,-2.0385989992851137,-0.8771428571428714,cat-7,Central Brooklyn,3.6965504,-7.9986715
Banker St & Meserole Ave,Banker St & Meserole Ave,Banker St,Meserole Ave,Banker St,Meserole Ave,40.72606000000074,-73.95621000000045,-4.7305218012866135,-4.763532763532794,cat-4,North Brooklyn,4.122488,-1.6559289
28 St & 41 Ave,28 St & 41 Ave,28 St,41 Ave,28 St,41 Ave,40.75104699999952,-73.93796999999925,-1.9692417739627217,-1.650284900284987,cat-2,Queens,-4.0670276,-0.37744582
Madison Ave & E 99 St,Madison Ave & E 99 St,Madison Ave,E 99 St,E 99 St,Madison Ave,40.78948541553149,-73.9524292945862,-1.9005010737294015,-2.880969351389922,cat-10,Harlem,-3.891821,2.1250157
Center Blvd & 51 Ave,Center Blvd & 51 Ave,Center Blvd,51 Ave,N.A.,51 Ave,40.74336608027068,-73.95960688591003,-0.45586107091162376,-0.465991316931877,cat-2,Queens,6.355746,-1.1772181
Classon Ave & St Marks Ave,Classon Ave & St Marks Ave,Classon Ave,St Marks Ave,N.A.,Classon Ave,40.67651979999948,-73.95960820000174,-5.343727338651206,-4.827116212338524,cat-5,South Brooklyn,2.0783858,-0.30825573
Prospect Park West & 8 St,Prospect Park West & 8 St,Prospect Park West,8 St,8 St,N.A.,40.66514681533751,-73.97637605667114,1.5624092888244832,1.5784172661869889,cat-5,South Brooklyn,2.1554928,0.72788924
Graham Ave & Withers St,Graham Ave & Withers St,Graham Ave,Withers St,Withers St,Graham Ave,40.716981099999025,-73.94485918000173,-3.734738372093034,-4.118115942028908,cat-4,North Brooklyn,2.1297848,0.43216392
Degraw St & Smith St,Degraw St & Smith St,Degraw St,Smith St,Degraw St,N.A.,40.68291509999888,-73.99318207999845,0.4383661560905239,-0.05156136528694333,cat-5,South Brooklyn,7.9135895,-0.5944814
E 68 St & 3 Ave,E 68 St & 3 Ave,E 68 St,3 Ave,E 68 St,3 Ave,40.76712840349504,-73.96224617958069,1.2551622418880015,2.817982456140271,cat-11,Upper East Side,6.806661,-0.6008095
Warren St & Court St,Warren St & Court St,Warren St,Court St,Warren St,N.A.,40.686371000001266,-73.99383324000134,1.200738007380096,0.2276064610866797,cat-5,South Brooklyn,1.0294032,3.321497
6 Ave & 9 St,6 Ave & 9 St,6 Ave,9 St,9 St,6 Ave,40.66812699999922,-73.9837764099984,3.2341211225996176,2.8497023809522943,cat-5,South Brooklyn,4.1709957,-0.52748376
Leonard St & Maujer St,Leonard St & Maujer St,Leonard St,Maujer St,Leonard St,N.A.,40.71036854235165,-73.94705951213838,-6.513473053892312,-6.18974751338942,cat-4,North Brooklyn,3.0019636,-6.33777
E 85 St & York Ave,E 85 St & York Ave,E 85 St,York Ave,E 85 St,York Ave,40.77536905000098,-73.94803391999902,0.9902548725638098,1.7825763216678752,cat-11,Upper East Side,3.8917878,-5.9177747
45 Rd & 11 St,45 Rd & 11 St,45 Rd,11 St,11 St,N.A.,40.74708585999948,-73.94977233999909,-1.5667924528302137,-2.4688449848024447,cat-2,Queens,-2.113382,0.9068173
Dean St & Franklin Ave,Dean St & Franklin Ave,Dean St,Franklin Ave,Dean St,Franklin Ave,40.67759206937446,-73.95563721656801,-4.838758516275448,-4.592313489073149,cat-5,South Brooklyn,4.653162,-6.0882645
2 Ave & E 104 St,2 Ave & E 104 St,2 Ave,E 104 St,E 104 St,2 Ave,40.78921049999931,-73.94370783999813,-2.9106737320212233,-3.1989489489490097,cat-10,Harlem,2.8768404,-9.273417
W 104 St & Amsterdam Ave,W 104 St & Amsterdam Ave,W 104 St,Amsterdam Ave,W 104 St,Amsterdam Ave,40.799041392883765,-73.96649479866028,-0.41849886277486803,0.40611724723885345,cat-9,Upper West Side,2.7217124,-0.8610956
Carroll St & Columbia St,Carroll St & Columbia St,Carroll St,Columbia St,Carroll St,N.A.,40.68304560000072,-74.00348559000096,0.7003034901365481,0.6440422322775703,cat-5,South Brooklyn,2.833355,-2.3839529
Central Park West & W 102 St,Central Park West & W 102 St,Central Park West,W 102 St,W 102 St,N.A.,40.7953459999994,-73.96185999999953,1.3221884498479994,0.5284090909090082,cat-9,Upper West Side,9.617035,-4.832063
E 82 St & East End Ave,E 82 St & East End Ave,E 82 St,East End Ave,E 82 St,East End Ave,40.77246069999875,-73.94682080000224,1.752110514197966,2.4039334341905487,cat-11,Upper East Side,8.102321,-0.59576255
Lexington Ave & E 111 St,Lexington Ave & E 111 St,Lexington Ave,E 111 St,E 111 St,Lexington Ave,40.79541210000022,-73.94412319999932,-3.7778631821674935,-2.2670623145399986,cat-10,Harlem,7.41146,-0.37130982
India St & West St,India St & West St,India St,West St,India St,N.A.,40.73181401720866,-73.95995020866394,-3.028906250000091,-3.9483675018982467,cat-4,North Brooklyn,8.6614275,-4.0881443
Carroll St & Bond St,Carroll St & Bond St,Carroll St,Bond St,Carroll St,N.A.,40.67861149999964,-73.99037292000109,0.7035294117647481,-0.23747108712404952,cat-5,South Brooklyn,8.752369,-3.5073323
14 St & 5 Ave,14 St & 5 Ave,14 St,5 Ave,14 St,5 Ave,40.666287000000004,-73.9889505299991,-0.030039525691790914,-1.0854901960783536,cat-5,South Brooklyn,-6.774711,0.34623858
Clinton St & Union St,Clinton St & Union St,Clinton St,Union St,Clinton St,N.A.,40.68311640000091,-73.99785266999973,2.5337034099920857,2.1034208432777177,cat-5,South Brooklyn,7.1970315,-5.303034
E 93 St & 2 Ave,E 93 St & 2 Ave,E 93 St,2 Ave,E 93 St,2 Ave,40.78245417527971,-73.94891962409021,0.2858280254777128,-1.6045321637427605,cat-10,Harlem,6.8054676,-6.4026628
Lewis Ave & Madison St,Lewis Ave & Madison St,Lewis Ave,Madison St,Madison St,Lewis Ave,40.68631199999976,-73.9357750000012,-3.571314741035849,-3.541432019308104,cat-7,Central Brooklyn,6.7624063,-5.4542465
Washington Ave & Greene Ave,Washington Ave & Greene Ave,Washington Ave,Greene Ave,N.A.,Washington Ave,40.68650065000066,-73.96563306999933,-0.6661354581672185,-0.8736176935228741,cat-7,Central Brooklyn,-6.5025706,-0.32513073
Smith St & 3 St,Smith St & 3 St,Smith St,3 St,Smith St,N.A.,40.678724199999266,-73.99599099000133,0.25940752602082284,0.5360000000000582,cat-5,South Brooklyn,-5.878485,-0.4631608
Laight St & Hudson St,Laight St & Hudson St,Laight St,Hudson St,Laight St,N.A.,40.72185378999934,-74.00771778999899,0.21988682295886974,1.7881157154026823,cat-8,Lower Manhattan,-4.715105,1.6842681
Underhill Ave & Lincoln Pl,Underhill Ave & Lincoln Pl,Underhill Ave,Lincoln Pl,N.A.,Underhill Ave,40.674012299999916,-73.96714569999831,-2.970064724918984,-2.453267162944485,cat-5,South Brooklyn,5.2520847,-6.323269
Division Av & Hooper St,Division Av & Hooper St,Division Av,Hooper St,Hooper St,N.A.,40.70684203101211,-73.95443539653337,-5.313262815297094,-5.2445054945055745,cat-4,North Brooklyn,9.408233,-5.9827704
Columbia St & Degraw St,Columbia St & Degraw St,Columbia St,Degraw St,Columbia St,N.A.,40.685929599998964,-74.00242364000091,1.6397058823529278,1.4759576202118296,cat-5,South Brooklyn,-16.346685,8.65335
Kane St & Clinton St,Kane St & Clinton St,Kane St,Clinton St,Kane St,N.A.,40.6861758000008,-73.99645294999944,2.8919803600654177,2.523026315789366,cat-5,South Brooklyn,-17.400356,8.375034
Douglass St & 4 Ave,Douglass St & 4 Ave,Douglass St,4 Ave,Douglass St,4 Ave,40.67927880000024,-73.98154003999791,-1.3546273546273824,-1.5915378356387464,cat-5,South Brooklyn,-18.246206,8.694814
Lexington Ave & Classon Ave,Lexington Ave & Classon Ave,Lexington Ave,Classon Ave,N.A.,Lexington Ave,40.68676792999952,-73.95928167999958,-1.0988467874794878,-1.8249185667752954,cat-7,Central Brooklyn,-18.372133,7.809912
Vernon Blvd & 47 Rd,Vernon Blvd & 47 Rd,Vernon Blvd,47 Rd,N.A.,N.A.,40.744906699999774,-73.9534572999986,-1.5421487603305195,-1.0929276315789593,cat-2,Queens,-18.988491,8.127535
44 Dr & 21 St,44 Dr & 21 St,44 Dr,21 St,21 St,N.A.,40.747999999999635,-73.9460927000023,-2.41122278056946,-2.1168067226890344,cat-2,Queens,5.2306414,-2.0472953
Van Brunt St & Van Dyke St,Van Brunt St & Van Dyke St,Van Brunt St,Van Dyke St,Van Brunt St,N.A.,40.67583294391267,-74.01472628116608,1.1553316540721426,1.2343011478731114,cat-5,South Brooklyn,-3.7884033,0.8858413
DeKalb Ave & Franklin Ave,DeKalb Ave & Franklin Ave,DeKalb Ave,Franklin Ave,N.A.,DeKalb Ave,40.69064807082944,-73.95746178925037,-4.198992443324869,-4.028691983122371,cat-7,Central Brooklyn,5.1764593,-1.3816416
Carlton Ave & Flushing Ave,Carlton Ave & Flushing Ave,Carlton Ave,Flushing Ave,N.A.,Carlton Ave,40.69778699999933,-73.97373599999993,-2.144537815126114,-1.7574722459437453,cat-7,Central Brooklyn,3.1948762,0.5369396
E 88 St & Park Ave,E 88 St & Park Ave,E 88 St,Park Ave,E 88 St,Park Ave,40.78141070019042,-73.95595908164978,-0.08930075821399441,0.7154811715481628,cat-11,Upper East Side,9.595985,-4.154125
31 Ave & 34 St,31 Ave & 34 St,31 Ave,34 St,34 St,31 Ave,40.7631540000002,-73.92082699999958,-4.671452702702709,-4.3271028037383985,cat-2,Queens,8.681343,-3.1362429
Monroe St & Classon Ave,Monroe St & Classon Ave,Monroe St,Classon Ave,Monroe St,Classon Ave,40.68456829999938,-73.95881080999973,-2.6796280642433885,-0.32161234991417587,cat-7,Central Brooklyn,9.23187,-3.7539186
E 91 St & Park Ave,E 91 St & Park Ave,E 91 St,Park Ave,E 91 St,Park Ave,40.783501600000605,-73.95532700000194,0.7799657534246762,1.0070360598065236,cat-11,Upper East Side,7.8803225,-5.803518
Sterling Pl & Bedford Ave,Sterling Pl & Bedford Ave,Sterling Pl,Bedford Ave,N.A.,Bedford Ave,40.67269500000063,-73.95413100000064,-5.942191544434763,-5.236410698878444,cat-5,South Brooklyn,-16.651052,9.537139
Bond St & Bergen St,Bond St & Bergen St,Bond St,Bergen St,Bond St,N.A.,40.68496679999965,-73.98620771999937,1.9922145328719125,0.5506382978724105,cat-5,South Brooklyn,-18.353601,9.332452
Pacific St & Nevins St,Pacific St & Nevins St,Pacific St,Nevins St,Pacific St,N.A.,40.68537610000012,-73.98302136000154,-0.11851211072666956,-0.08564013840828011,cat-5,South Brooklyn,-19.042095,8.216861
W 113 St & Broadway,W 113 St & Broadway,W 113 St,Broadway,W 113 St,N.A.,40.805973000000314,-73.96492800000094,-0.7572052401746987,0.11028037383175615,cat-9,Upper West Side,-8.308635,6.707765
Nassau St & Navy St,Nassau St & Navy St,Nassau St,Navy St,Nassau St,N.A.,40.69839895000037,-73.98068913999865,0.19126637554586523,-1.0669527896995987,cat-7,Central Brooklyn,-7.9974866,6.3403096
East End Ave & E 86 St,East End Ave & E 86 St,East End Ave,E 86 St,E 86 St,East End Ave,40.775186150000074,-73.94446054000052,1.6389860139859138,-0.38408304498261714,cat-11,Upper East Side,-9.001066,7.3630023
Wyckoff St & 3 Ave,Wyckoff St & 3 Ave,Wyckoff St,3 Ave,Wyckoff St,3 Ave,40.68275490000072,-73.98258554999938,-3.2124125874127003,-3.7975352112675864,cat-5,South Brooklyn,-12.533611,9.982165
Grand Ave & Bergen St,Grand Ave & Bergen St,Grand Ave,Bergen St,Bergen St,Grand Ave,40.67804500000044,-73.96240800000108,-3.539612676056322,-3.902183406113636,cat-5,South Brooklyn,-2.1118507,1.7915027
14 St & 7 Ave,14 St & 7 Ave,14 St,7 Ave,14 St,7 Ave,40.663779000000275,-73.98396846000077,-0.04761904761903679,0.6793960923623672,cat-5,South Brooklyn,9.81022,-7.421924
W 116 St & Broadway,W 116 St & Broadway,W 116 St,Broadway,W 116 St,N.A.,40.80819999999961,-73.96409999999857,-0.9063604240282075,-1.324612403100673,cat-9,Upper West Side,-3.5204897,1.353669
Broadway & Whipple St,Broadway & Whipple St,Broadway,Whipple St,Whipple St,N.A.,40.70166569999917,-73.94373030000104,-3.7621573828471355,-3.94112399643177,cat-4,North Brooklyn,-3.7188075,2.8293471
Pitt St & Stanton St,Pitt St & Stanton St,Pitt St,Stanton St,Pitt St,N.A.,40.71926081000076,-73.981780240001,-0.5589016829051161,-2.4850615114235097,cat-8,Lower Manhattan,5.66245,-2.4095793
3 Ave & E 95 St,3 Ave & E 95 St,3 Ave,E 95 St,E 95 St,3 Ave,40.784596798848874,-73.94968539476396,0.12834224598941546,0.44128113879014563,cat-10,Harlem,-5.7748175,1.452742
19 St & 24 Ave,19 St & 24 Ave,19 St,24 Ave,19 St,24 Ave,40.777455199999466,-73.92254030000076,-3.310160427807432,-3.128861429832341,cat-2,Queens,-7.3509984,0.9951449
St Johns Pl & Washington Ave,St Johns Pl & Washington Ave,St Johns Pl,Washington Ave,N.A.,Washington Ave,40.67372359999963,-73.96316109999889,-4.25,-3.718045112781965,cat-5,South Brooklyn,8.850815,-4.7511406
Wyckoff Av & Jefferson St,Wyckoff Av & Jefferson St,Wyckoff Av,Jefferson St,Jefferson St,N.A.,40.70716499999982,-73.92371100000022,-3.5491949910554013,-4.365284974093356,cat-4,North Brooklyn,-17.680761,8.734373
Carlton Ave & Park Ave,Carlton Ave & Park Ave,Carlton Ave,Park Ave,N.A.,Carlton Ave,40.69580704999941,-73.97355568999886,0.44665461121167027,-0.2054673721340805,cat-7,Central Brooklyn,-13.917785,9.345618
Myrtle Ave & St Edwards St,Myrtle Ave & St Edwards St,Myrtle Ave,St Edwards St,St Edwards St,Myrtle Ave,40.69327018000068,-73.9770387400003,-0.6163636363635305,0.8106884057970092,cat-7,Central Brooklyn,-16.553299,9.774139
E 115 St & Lexington Ave,E 115 St & Lexington Ave,E 115 St,Lexington Ave,E 115 St,Lexington Ave,40.797911000000845,-73.94229999999986,-3.391978122151386,-3.7190008920606488,cat-10,Harlem,-1.6330899,-1.0097195
S 4 St & Wythe Ave,S 4 St & Wythe Ave,S 4 St,Wythe Ave,S 4 St,Wythe Ave,40.7128588699998,-73.96590294000072,-4.235563703024809,-4.373188405797009,cat-4,North Brooklyn,-2.2131603,-1.8216791
E 68 St & Madison Ave,E 68 St & Madison Ave,E 68 St,Madison Ave,E 68 St,Madison Ave,40.76915719999936,-73.96703463999998,0.8345656192236675,1.1496725912068086,cat-11,Upper East Side,-1.8275027,1.0962752
Union St & Nevins St,Union St & Nevins St,Union St,Nevins St,Union St,N.A.,40.67909799721641,-73.98765474557877,-0.12140871177007284,-0.21506352087112646,cat-5,South Brooklyn,10.005192,-4.6058
Concord St & Bridge St,Concord St & Bridge St,Concord St,Bridge St,Concord St,N.A.,40.69766564000018,-73.98476437000015,-2.814126394051982,-1.9172093023255457,cat-7,Central Brooklyn,8.738525,-4.343204
21 St & Queens Plaza North,21 St & Queens Plaza North,21 St,Queens Plaza North,21 St,N.A.,40.75325963999993,-73.94335788000008,-2.1845293569431306,-1.8689591078066314,cat-2,Queens,-1.9948264,-0.3023052
Eastern Pkwy & Washington Ave,Eastern Pkwy & Washington Ave,Eastern Pkwy,Washington Ave,N.A.,Washington Ave,40.67164929999918,-73.96311450000097,-0.09888059701484053,0.17142857142857792,cat-5,South Brooklyn,1.7970369,2.08124
E 118 St & 3 Ave,E 118 St & 3 Ave,E 118 St,3 Ave,E 118 St,3 Ave,40.79913900000028,-73.93891519999906,-0.5205607476634668,-0.9972477064220584,cat-10,Harlem,6.9244676,-1.1870615
Prospect Pl & 6 Ave,Prospect Pl & 6 Ave,Prospect Pl,6 Ave,N.A.,6 Ave,40.67933069999966,-73.97519522999946,-1.98690364826939,-0.8582230623817395,cat-5,South Brooklyn,6.0907326,-2.1293716
Franklin Ave & St Marks Ave,Franklin Ave & St Marks Ave,Franklin Ave,St Marks Ave,N.A.,Franklin Ave,40.67583239999931,-73.95616770000083,-5.291861552853106,-5.61047619047622,cat-5,South Brooklyn,-6.189724,1.0561662
1 Pl & Clinton St,1 Pl & Clinton St,1 Pl,Clinton St,Clinton St,N.A.,40.68095909999897,-73.99905708999864,0.36891385767785323,1.122201492537215,cat-5,South Brooklyn,-5.5238366,0.9095869
E 102 St & Park Ave,E 102 St & Park Ave,E 102 St,Park Ave,E 102 St,Park Ave,40.79048280000022,-73.95033068000188,-1.2877225866916433,-0.6273062730626862,cat-10,Harlem,2.576106,0.0146881975
W 107 St & Columbus Ave,W 107 St & Columbus Ave,W 107 St,Columbus Ave,W 107 St,Columbus Ave,40.79975679999933,-73.9621128675995,-3.811853245531438,-3.317027281279479,cat-9,Upper West Side,4.389113,-1.2168399
Pierrepont St & Monroe Pl,Pierrepont St & Monroe Pl,Pierrepont St,Monroe Pl,Pierrepont St,N.A.,40.69535693320302,-73.99344027042389,2.66792452830191,6.355723746452213,cat-5,South Brooklyn,3.5367303,-1.4640679
Berkeley Pl & 6 Ave,Berkeley Pl & 6 Ave,Berkeley Pl,6 Ave,N.A.,6 Ave,40.67653040000004,-73.9784687900002,0.7516587677725965,-0.6284622731614036,cat-5,South Brooklyn,2.483236,-1.0389423
3 Ave & E 72 St,3 Ave & E 72 St,3 Ave,E 72 St,E 72 St,3 Ave,40.76994260000079,-73.9606071200006,1.1528964862297926,1.2918250950569927,cat-11,Upper East Side,8.790782,-5.2139916
Pioneer St & Van Brunt St,Pioneer St & Van Brunt St,Pioneer St,Van Brunt St,Pioneer St,N.A.,40.67904299999923,-74.01116899999998,1.1462488129154735,-0.052456286427968735,cat-5,South Brooklyn,7.7409406,-5.8215175
Kosciuszko St & Tompkins Ave,Kosciuszko St & Tompkins Ave,Kosciuszko St,Tompkins Ave,Kosciuszko St,Tompkins Ave,40.69128258000011,-73.94524159999891,-4.488083889418476,-4.2886100386099315,cat-7,Central Brooklyn,9.557153,-4.896813
Lenox Ave & W 115 St,Lenox Ave & W 115 St,Lenox Ave,W 115 St,W 115 St,Lenox Ave,40.80119389999944,-73.9500739000007,0.7290076335877984,-0.45739549839231586,cat-10,Harlem,10.357702,-7.4519777
Columbia St & Kane St,Columbia St & Kane St,Columbia St,Kane St,Columbia St,N.A.,40.68763154999984,-74.0016256000002,1.241412213740432,0.8385269121813508,cat-5,South Brooklyn,6.001707,-1.5943397
Adam Clayton Powell Blvd & W 123 St,Adam Clayton Powell Blvd & W 123 St,Adam Clayton Powell Blvd,W 123 St,W 123 St,N.A.,40.807831600000206,-73.94937300000055,-0.7490421455938758,-0.5750232991613302,cat-10,Harlem,-17.459818,7.7360864
Crescent St & Broadway,Crescent St & Broadway,Crescent St,Broadway,Crescent St,N.A.,40.7633589000006,-73.92864709999995,-2.2428023032630335,-1.6076555023923902,cat-2,Queens,-17.379545,6.549238
10 St & 7 Ave,10 St & 7 Ave,10 St,7 Ave,10 St,7 Ave,40.66620780000067,-73.98199886000046,1.8757225433525946,2.577478344561996,cat-5,South Brooklyn,-5.1368666,-0.0950945
Prospect Pl & Underhill Ave,Prospect Pl & Underhill Ave,Prospect Pl,Underhill Ave,N.A.,Underhill Ave,40.67696940000043,-73.96579000000082,-0.6941747572816439,-0.28459273797830065,cat-5,South Brooklyn,-17.992788,8.032952
Cambridge Pl & Gates Ave,Cambridge Pl & Gates Ave,Cambridge Pl,Gates Ave,N.A.,Gates Ave,40.68488000000053,-73.96304000000112,-1.060194174757271,-1.4372003835092073,cat-7,Central Brooklyn,-3.8286276,1.7347358
31 Ave & Steinway St,31 Ave & Steinway St,31 Ave,Steinway St,Steinway St,31 Ave,40.76129389728889,-73.916916847229,-2.6225680933853255,-2.7423076923078042,cat-2,Queens,-3.771987,2.6038575
Underhill Ave & Pacific St,Underhill Ave & Pacific St,Underhill Ave,Pacific St,Pacific St,Underhill Ave,40.680483600000485,-73.96467950000068,-1.9558390578999933,-1.6301096709869398,cat-5,South Brooklyn,8.349952,-2.8092914
Monroe St & Tompkins Ave,Monroe St & Tompkins Ave,Monroe St,Tompkins Ave,Monroe St,Tompkins Ave,40.686202999999814,-73.94469400000008,-4.793885601577813,-5.306547619047706,cat-7,Central Brooklyn,8.149735,-3.1540098
Steinway St & 28 Ave,Steinway St & 28 Ave,Steinway St,28 Ave,Steinway St,28 Ave,40.76562510000059,-73.91366950000004,-3.121541501976253,-3.312252964426989,cat-2,Queens,5.2584443,-5.042321
Center Blvd & 48 Ave,Center Blvd & 48 Ave,Center Blvd,48 Ave,N.A.,48 Ave,40.745038000000385,-73.95753900000032,-0.7065217391304941,-1.436507936507951,cat-2,Queens,2.2415497,-0.6305241
Bushwick Ave & Powers St,Bushwick Ave & Powers St,Bushwick Ave,Powers St,Powers St,Bushwick Ave,40.712476610000024,-73.94100005000026,-4.6719524281465965,-4.455366098294917,cat-4,North Brooklyn,2.9213536,-0.34348014
2 Ave & E 99 St,2 Ave & E 99 St,2 Ave,E 99 St,E 99 St,2 Ave,40.78625859999975,-73.9455257899987,-2.097706879362022,-2.1867179980749825,cat-10,Harlem,2.4880254,-1.1566085
Boerum St & Broadway,Boerum St & Broadway,Boerum St,Broadway,Boerum St,N.A.,40.70538076999961,-73.9497651900007,-3.2445109780439907,-3.5064292779427433,cat-4,North Brooklyn,2.7723844,-1.0360687
4 Ave & 9 St,4 Ave & 9 St,4 Ave,9 St,9 St,4 Ave,40.670513500000546,-73.98876584999995,-1.1396984924622302,-1.4022988505746525,cat-5,South Brooklyn,2.8861482,0.040053867
Clinton St & 4 Place,Clinton St & 4 Place,Clinton St,4 Place,Clinton St,N.A.,40.67835629999955,-74.00014502000059,1.2354124748489994,1.5184815184816216,cat-5,South Brooklyn,3.2727163,0.17078021
E 106 St & Madison Ave,E 106 St & Madison Ave,E 106 St,Madison Ave,E 106 St,Madison Ave,40.79343369999977,-73.94945002999995,-2.8912386706949746,-3.4129793510323907,cat-10,Harlem,4.1232553,-5.8275757
Columbia Heights & Cranberry St,Columbia Heights & Cranberry St,Columbia Heights,Cranberry St,Cranberry St,N.A.,40.70037867000049,-73.9954805899999,4.176291793313112,3.263846928499561,cat-5,South Brooklyn,3.5540946,7.2574716
W 120 St & Claremont Ave,W 120 St & Claremont Ave,W 120 St,Claremont Ave,W 120 St,Claremont Ave,40.81094939999962,-73.96339999999974,-0.1949238578679342,0.33162743091088487,cat-9,Upper West Side,4.2971253,5.473854
Clermont Ave & Lafayette Ave,Clermont Ave & Lafayette Ave,Clermont Ave,Lafayette Ave,N.A.,Clermont Ave,40.68764483999986,-73.96968901999944,-0.6456211812626407,-0.540487804878012,cat-7,Central Brooklyn,-2.918862,-1.2745837
E 118 St & 1 Ave,E 118 St & 1 Ave,E 118 St,1 Ave,E 118 St,1 Ave,40.797470000000075,-73.9350399999983,-3.7953156822811707,-2.7206931702344264,cat-10,Harlem,-4.2451186,1.571893
Verona Pl & Fulton St,Verona Pl & Fulton St,Verona Pl,Fulton St,Fulton St,N.A.,40.680356084042444,-73.94767910242079,-3.2102040816325825,-2.514841351074665,cat-7,Central Brooklyn,7.546909,-3.5498822
Mt Morris Park W & W 120 St,Mt Morris Park W & W 120 St,Mt Morris Park W,W 120 St,W 120 St,N.A.,40.804037999999764,-73.94592500000061,2.287925696594357,1.695208970438216,cat-10,Harlem,2.9047348,-7.763445
Butler St & Court St,Butler St & Court St,Butler St,Court St,Butler St,N.A.,40.68498939999987,-73.9944032900002,2.0031023784902118,0.5261538461538748,cat-5,South Brooklyn,-1.6869978,1.5182585
Greene Av & Myrtle Av,Greene Av & Myrtle Av,Greene Av,Myrtle Av,N.A.,N.A.,40.69856799999981,-73.91887699999869,-4.95139607032047,-4.504643962848377,cat-4,North Brooklyn,8.30395,-6.6520143
Dean St & Hoyt St,Dean St & Hoyt St,Dean St,Hoyt St,Dean St,N.A.,40.686444200000395,-73.98759104000047,-0.60778128286006,0.26618705035980383,cat-5,South Brooklyn,5.8367534,-8.561207
E 66 St & Madison Ave,E 66 St & Madison Ave,E 66 St,Madison Ave,E 66 St,Madison Ave,40.76800889305976,-73.96845281124116,1.2315789473684617,2.5774946921444553,cat-11,Upper East Side,-17.399523,8.534208
Newtown Ave & 23 St,Newtown Ave & 23 St,Newtown Ave,23 St,23 St,Newtown Ave,40.77136150000005,-73.92461450000023,-3.6701791359325853,-3.3329842931937037,cat-2,Queens,7.906896,-3.3270452
Cedar St & Myrtle Ave,Cedar St & Myrtle Ave,Cedar St,Myrtle Ave,Cedar St,Myrtle Ave,40.69784200000067,-73.92624100000025,-5.968287526427048,-5.312825860271005,cat-4,North Brooklyn,4.933056,-5.5445104
President St & Henry St,President St & Henry St,President St,Henry St,President St,N.A.,40.68280029999984,-73.99990419000063,0.7216931216930789,0.9059561128526639,cat-5,South Brooklyn,-3.3374658,1.2213222
Park Pl & Franklin Ave,Park Pl & Franklin Ave,Park Pl,Franklin Ave,N.A.,Franklin Ave,40.67418059999968,-73.95649470000181,-6.089171974522287,-5.915508021390451,cat-5,South Brooklyn,9.630124,-7.5140004
Clermont Ave & Park Ave,Clermont Ave & Park Ave,Clermont Ave,Park Ave,N.A.,Clermont Ave,40.695733979999396,-73.97129667999981,-1.9978678038380622,-1.4499473129610578,cat-7,Central Brooklyn,9.158408,-7.836019
Adam Clayton Powell Blvd & W 126 St,Adam Clayton Powell Blvd & W 126 St,Adam Clayton Powell Blvd,W 126 St,W 126 St,N.A.,40.809495347779894,-73.94776493310928,-1.5940170940170901,-2.6315789473683253,cat-10,Harlem,-1.5378685,1.6171193
Garfield Pl & 8 Ave,Garfield Pl & 8 Ave,Garfield Pl,8 Ave,N.A.,8 Ave,40.67119779999971,-73.97484126000067,3.6019417475727096,4.399132321041179,cat-5,South Brooklyn,-1.4892429,0.24364102
Fulton St & Utica Ave,Fulton St & Utica Ave,Fulton St,Utica Ave,Fulton St,Utica Ave,40.679426800000606,-73.92989110000013,-3.5339805825242365,-3.164680390032572,cat-7,Central Brooklyn,-6.2567687,1.934201
6 Ave & W 34 St,6 Ave & W 34 St,6 Ave,W 34 St,W 34 St,6 Ave,40.74964000000102,-73.98804999999994,-1.9328277356446506,-1.6444444444443889,cat-12,Midtown,-9.422755,7.221329
Halsey St & Tompkins Ave,Halsey St & Tompkins Ave,Halsey St,Tompkins Ave,Halsey St,Tompkins Ave,40.68236869999969,-73.94411799999953,-2.895991332610947,-2.8864628820961116,cat-7,Central Brooklyn,-9.362313,7.037696
27 St & Hunter St,27 St & Hunter St,27 St,Hunter St,27 St,N.A.,40.74850000000075,-73.94127499999908,-3.8715995647442014,-4.335483870967664,cat-2,Queens,3.7600148,3.536047
Lewis Ave & Kosciuszko St,Lewis Ave & Kosciuszko St,Lewis Ave,Kosciuszko St,Kosciuszko St,Lewis Ave,40.69237073999909,-73.93705428000106,-7.049180327868953,-6.597533632286968,cat-7,Central Brooklyn,-4.4299192,3.385162
