,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Lexington Ave & E 63 St,Lexington Ave & E 63 St,Lexington Ave,E 63 St,E 63 St,Lexington Ave,40.76440022999737,-73.9664897700037,0.9168522642910375,2.191111111111013,cat-11,Upper East Side,3.9026296,0.31334156
Willoughby St & Fleet St,Willoughby St & Fleet St,Willoughby St,Fleet St,Willoughby St,N.A.,40.691965659997344,-73.98130179999876,-2.291449814126281,-1.9128320239431105,cat-7,Central Brooklyn,-3.6125617,1.6849526
St James Pl & Oliver St,St James Pl & Oliver St,St James Pl,Oliver St,Oliver St,N.A.,40.71307916000224,-73.99851192999813,0.7451868629671026,0.43362495245332866,cat-8,Lower Manhattan,4.867353,-6.529085
W 89 St & Columbus Ave,W 89 St & Columbus Ave,W 89 St,Columbus Ave,W 89 St,Columbus Ave,40.78822129999842,-73.97041561000319,1.8628636191915575,1.7230425055927299,cat-9,Upper West Side,4.0221577,-11.85182
Nassau Ave & Russell St,Nassau Ave & Russell St,Nassau Ave,Russell St,Russell St,Nassau Ave,40.72556999999861,-73.94433999999659,-3.4057641259005322,-2.4329855537721414,cat-4,North Brooklyn,-7.1768837,1.0690053
Jay St & Tech Pl,Jay St & Tech Pl,Jay St,Tech Pl,Jay St,N.A.,40.695065000002714,-73.98716700000412,-0.18420053171280415,-0.5398865784497957,cat-7,Central Brooklyn,-6.739262,-1.2987366
Reade St & Broadway,Reade St & Broadway,Reade St,Broadway,Reade St,N.A.,40.714504510000765,-74.00562789000092,1.0783711102574216,1.7962049335862957,cat-8,Lower Manhattan,-16.617733,11.378459
Madison Ave & E 82 St,Madison Ave & E 82 St,Madison Ave,E 82 St,E 82 St,Madison Ave,40.77813140000131,-73.96069398999741,2.6151771956856464,1.6426614481408706,cat-11,Upper East Side,-16.618217,9.63648
Clinton St & Joralemon St,Clinton St & Joralemon St,Clinton St,Joralemon St,Clinton St,N.A.,40.69239501999983,-73.99337909000229,2.2896068509146517,0.9501765398194948,cat-5,South Brooklyn,-16.35028,10.537348
Grand Army Plaza & Plaza St West,Grand Army Plaza & Plaza St West,Grand Army Plaza,Plaza St West,Plaza St West,N.A.,40.672967899998476,-73.97087983999718,-0.052672649239184466,-0.6085209003215368,cat-5,South Brooklyn,-17.071892,10.922402
Meserole Ave & Manhattan Ave,Meserole Ave & Manhattan Ave,Meserole Ave,Manhattan Ave,N.A.,Meserole Ave,40.72708584000059,-73.95299116999618,-3.294856694149985,-3.308414872798494,cat-4,North Brooklyn,-16.725262,10.304595
Union Ave & N 12 St,Union Ave & N 12 St,Union Ave,N 12 St,N 12 St,Union Ave,40.719240000001484,-73.95241999999686,-3.215632364493331,-3.359585094122167,cat-4,North Brooklyn,-16.470839,9.68349
N 12 St & Bedford Ave,N 12 St & Bedford Ave,N 12 St,Bedford Ave,N 12 St,Bedford Ave,40.72079820999805,-73.9548471200023,-3.3528717545239033,-3.521038143924443,cat-4,North Brooklyn,-16.901731,10.084625
Kent Ave & S 11 St,Kent Ave & S 11 St,Kent Ave,S 11 St,S 11 St,Kent Ave,40.707644944177325,-73.96841526031494,-0.8833992094862424,-1.2202729044834086,cat-4,North Brooklyn,-6.83585,-1.1079952
McGuinness Blvd & Eagle St,McGuinness Blvd & Eagle St,McGuinness Blvd,Eagle St,Eagle St,N.A.,40.735549999998526,-73.95284000000294,-3.631974673525974,-3.202366863905354,cat-2,Queens,-6.3025303,-0.988704
Grand St & Havemeyer St,Grand St & Havemeyer St,Grand St,Havemeyer St,Grand St,N.A.,40.71286843999848,-73.9569811899958,-5.148148148148039,-5.032687651331798,cat-4,North Brooklyn,-7.1032577,-1.681248
W 106 St & Central Park West,W 106 St & Central Park West,W 106 St,Central Park West,W 106 St,N.A.,40.79818559999806,-73.96059090059929,-0.11142397425578565,-0.1879432624114088,cat-9,Upper West Side,-16.692474,9.03786
E 43 St & 2 Ave,E 43 St & 2 Ave,E 43 St,2 Ave,E 43 St,2 Ave,40.75022391999781,-73.97121414000074,-0.9706237424547908,0.9409228115566748,cat-12,Midtown,-17.336433,10.765287
